Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,tCO2e per capita,1.91,2,2.08,2.24,2.32,2.56,2.52,2.54,2.6,2.51,2.65,2.77,2.97,3.43,3.95,4.46,4.91,5.3,5.43,5.8,6.33,6.9,7.06,7.32,7.25,7.17,7.12,7.23
United States,tCO2e per capita,19.41,19.01,19.03,19.24,19.28,19.25,19.61,20.35,20.27,20.11,20.47,20.18,19.45,19.51,19.6,19.48,18.96,19.06,18.29,16.82,17.43,16.6,15.77,16.11,16.03,15.54,15.14,14.81
